CITY,ADDRESS,GEOCODE
Априлци,"ул.Драгни Стойчев, 5641 гр.Априлци","42.841756, 24.917709"
Ардино,"ул. Пирин, 6750 Ардино","41.583561, 25.135276"
Ардино,"улица Републиканска, 6750 Ардино","41.583061, 25.134152"
Ардино,Ардино,"41.580028, 25.133278"
Антон,"ул. България, 2089 Антон","42.735078, 24.260305"
Баня /Карлово/,"ул. „Карловска"" 24-26, 4360 Баня","42.545650, 24.829924"
Баните /Смолян/,"8632 2-1, 4940 Баните","41.613912, 25.006642"
Болярово,"ул. Димитър Благоев, 8720 Болярово","42.148889, 26.809884"
Борово,"А,7174, ж.к. Красно село - кв. Борово, бул. „Никола Й. Вапцаров“ 1","43.488523, 25.810327"
Борино,"197, 4824 Борино","41.683749, 24.292708"
Бяла /Русе/,"ул. Цар Освободител 41, 7100 Бяла","43.465115, 25.731369"
Бяла /Русе/,"ул. Цар Освободител 113-101, 7100 Бяла","43.461486, 25.739285"
Бяла /Русе/,"Георги Бенковски 31, 7100 Бяла","43.454380, 25.738575"
Бяла /Русе/,"ул. Васил Априлов 26, 7101 Гара Бяла","43.468083, 25.675750"
Велики Преслав ,"ул. „Неофит Рилски“ 65949, 9850 Велики Преслав","43.162140, 26.801611"
Велики Преслав ,"ул. „Борис Спиров“ 92, 9850 Велики Преслав","43.162844, 26.807639"
Велики Преслав ,"ул. „Панайот Волов“, 9850 Велики Преслав","43.159336, 26.809585"
Велики Преслав ,9850 Велики Преслав,"43.161880, 26.815496"
Велико Търново,"ул. „Филип Тотю“ 17-15, 5002 Район Западен,- ОУ Бачо Киро","43.076289, 25.616931"
Велико Търново,"5000 ж.к. Акация, бул. България  Велико Търново","43.080386, 25.614729"
Велико Търново,"ул „Полтава"" 5, 5005 ж.к. Колю Фичето, Велико Търново","43.080727, 25.604889"
Велико Търново,"ул. „Лазурна“ 1, 5008 ж.к. Зона Б, Велико Търново","43.068667, 25.618111"
Велико Търново,"ул. „Иларион Драгостинов“, 5008 ж.к. Бузлуджа, Велико Търново","43.066747, 25.611738"
Велико Търново,"ул. „Райна Княгиня“ 5В, 5004 ж.к. Чолаковци, Велико Търново","43.061876, 25.600139"
Велико Търново,5008 Велико Търново,"43.061833, 25.605428"
Ресен,5060 Ресен,"43.201038, 25.544551"
Ветово,7080 Ветово - 2 бр.,"43.703478, 26.263798"
Враца,"бул. „2-ри юни“ 161-149, 3001 Медковец, Враца - 2 бр.","43.195376, 23.566735"
Враца,"ул. „Козлодуйски бряг“ 34, 3002 ж.к. Самуил, Враца - 2 бр.","43.204746, 23.562778"
Враца,"ул. „Климент Охридски“, 3000 Враца Център, Враца","43.208576, 23.553164"
Враца,"ул. „Георги С. Раковски“ 28-30, 3000 Враца Център, Враца","43.207079, 23.550581"
Враца,"ул. „Сестри Хаджикръстеви“ 7, 3000 ж.к. Металург, Враца","43.213968, 23.551620"
Враца,"Стоян Ц. Даскалов, 3005 ж.к. Дъбника, Враца","43.221280, 23.552923"
Враца,"3005 ж.к. Дъбника, Враца","43.222264, 23.544641"
Враца,"3005 ж.к. Сениче, Враца","43.220804, 23.541280"
Враца,"бул. „Христо Ботев“ 140А, 3000 72, Враца","43.215058, 23.545027"
Враца,"бул. „2-ри юни“ 47-45, 3001 Враца Център, Враца - 2 бр.","43.200343, 23.554309"
Враца,"ул. „Генерал Леонов“ 14А, 3000 Враца Център, Враца","43.201511, 23.551090"
Враца,"ул. Оборище 7, 3000 Враца","43.207745, 23.544704"
Горна Оряховица,"ул. „Пирот“ 45, 5100 Горна Оряховица","43.118561, 25.689403"
Горна Оряховица,"53 23, 5101 Горна Оряховица","43.128493, 25.681802"
Горна Оряховица,"ул. Васил Левски 10-8, 5101 Пролет, Горна Оряховица","43.132580, 25.684167"
Горна Оряховица,5101 Горна Оряховица,"43.133609, 25.679852"
Горна Оряховица,"ул. Васил Левски 4-8, 5101 Горна Оряховица","43.131262, 25.680751"
Горна Оряховица,5100 Горна Оряховица - 2 бр.,"43.123234, 25.680615"
Горна Оряховица,"бул. „Македония“, 5100 Център, Горна Оряховица","43.119545, 25.687766"
Гложево,"2001, 7040 Глоджево","43.733477, 26.388391"
Гурково,"ул. Александър Стамболийски, 6199 Гурково","42.659055, 25.793856"
Долна баня,"ул. Пенчо Славейков, 2040 Долна баня","42.311279, 23.765469"
Две Могили,"ул. Христо Смирненски 1, 7150 Две могили - 2 бр.","43.590957, 25.874943"
Дебелец,"ул. Патриарх Евтимий Търновски 50, 5030 Дебелец","43.042971, 25.620990"
Димитровград,"ул. „Емилиян Станев“ 8-6, 6404 Димитровград","42.055583, 25.584083"
Димитровград,"бул. Димитър Благоев 19Е, 6400 кв. Димитър Благоев, Димитровград","42.055222, 25.597306"
Димитровград,"ул. „Христо Г. Данов“ 8, 6404 Димитровград","42.054333, 25.581611"
Димитровград,"бул. „Христо Ботев“ 37-35, 6404 Димитровград","42.052028, 25.583972"
Димитровград,"6400 жк. Дружба, Димитровград","42.058044, 25.585143"
Димитровград,"ул. „Св. Климент Охридски“ 12-6, 6400 кв. Димитър Благоев","42.057778, 25.595806"
Димитровград,"ул. „Иван Вазов“, 6400 Димитровград","42.058000, 25.600250"
Димитровград,"Блок 3, ул. „Простор“, 6400 кв. Раковски, Димитровград","42.061500, 25.601389"
Димитровград,"ул. „Христо Смирненски“, 6400 жк. Дружба, Димитровград","42.061371, 25.587563"
Дряново,"ул.Стефан Стамболов 43, 5370 Дряново","42.975347, 25.475372"
Дряново,"ул. Шипка 164, 5370 Дряново","42.973770, 25.470752"
Джебел,6850 Джебел,"41.496099, 25.299611"
Джебел,"Йълдъръм 6, 6850 Джебел","41.495816, 25.303458"
Етрополе,"2180 Осем, Етрополе","42.843362, 24.005762"
Етрополе,"37 30-38, 2180 Етрополе","42.830544, 23.998563"
Златоград,"ul. Belovidovo, 4980 Златоград","41.379188, 25.097731"
Златоград,"ул. Освобождение, 4980 Златоград","41.380158, 25.096032"
Златоград,4980 Златоград,"41.383676, 25.091210"
Златоград,4980 Стадион Златоград,"41.379998, 25.085290"
Златица,"ул. Владислав Варненчик 10, 2080 Златица-2бр.","42.712036, 24.140551"
Златица,"ул. Гълъбец, 2080 Златица","42.719303, 24.134066"
Кабиле,"ул.Спартак 4-10, 8629 Кабиле","42.529316, 26.478958"
Казанлък,"ул. Ненко Балкански 2А, кв. ""Кулата"", Казанлък","42.621946, 25.403176"
Казанлък,"ул. „Доктор Стамболски 1, 6100 кв. Родина, Казанлък","42.618325, 25.396236"
Казанлък,"бул. „23-ти пехотен Шипченски полк“ 27-85, 6100 кв. Къренски, Казанлък","42.618177, 25.384387"
Казанлък,"бул. „23-ти пехотен Шипченски полк“147, 6103 Казанлък","42.617924, 25.369985"
Казанлък,"ж.к. Васил Левски 45 Д, Казанлък","42.622067, 25.376723"
Казанлък,"ул. „Генерал Столетов“ 22-16, 6100 Розариум, Казанлък","42.623637, 25.385928"
Казанлък,"бул. „Освобождение“, 6100 Стадиона, Казанлък","42.627781, 25.388449"
Казанлък,Депо Казанлък,"42.609209, 25.396414"
Калофер,"ул. 9-ти септември 5, 4370 Калофер","42.610825, 24.975372"
Калояново,"ул. Димчо Дебеляанов, 4173 Калояново","42.356841, 24.731222"
Карлово,"ул. Цанко Церковски, 4302 Карлово","42.645194, 24.803179"
Карлово,"Водопад 1, 4300 Център, Карлово","42.644480, 24.807014"
Карлово,"ул. Генерал Заимов No 8, 4300 Карлово","42.639562, 24.800176"
Карлово,"ул. „Александър Стамболийски“ 44-46, 4300 кв. Васил Левски, ","42.636756, 24.807565"
Карлово,"ул. Димитър Събев 2-6, 4300 кв. Васил Левски, Карлово","42.640992, 24.807323"
Каспичан,"ул. „Македония“, 9930 Каспичан","43.316299, 27.159186"
Каспичан,"ул. „Симеон Велики“ 1a, 9930 Каспичан","43.313224, 27.159422"
Карнобат,"ул. „В. Михалев“, 8400 Център, Карнобат","42.648279, 26.990038"
Карнобат,"ул. „Съби Димитров“ №21, 8400 Център, Карнобат","42.643837, 26.984640"
Карнобат,"ул. Възраждане, 8400 Карнобат","42.649317, 26.968938"
Карнобат,"5391 50, 8400 Център, Карнобат","42.648089, 26.978402"
Карнобат,8400 Карнобат,"42.652151, 26.982803"
Килифарево,"улица Александър Стамболийски 10, 5050 Килифарево","42.994182, 25.621557"
Кърждали,"Кърджали Център, ул. „Отец Паисий“, 6600 Кърджали","41.642900, 25.369521"
Кърждали,"Кърджали Център, ул. „Македония“, 6600 Кърджали","41.643471, 25.365227"
Кърждали,"Кърджали Център, ул. „Екзарх Йосиф“, 6600 Кърджали","41.645220, 25.371500"
Кърждали,"ул. „Стефан Караджа“, 6600 Кърджали","41.641045, 25.372789"
Кърждали,"Кърджали Център, 6600 Кърджали","41.638650, 25.375544"
Кърждали,"Кърджали Център, бул. „България“ 63В, 6600 Кърджали","41.636077, 25.373276"
Кърждали,"Кърджали Център, бул. „България“, 6600 Кърджали","41.634454, 25.376907"
Кърждали,"Веселчане, ул. „8-ми март“ 1, А, 6602 Кърджали","41.623045, 25.377033"
Кърждали,"кв. Възрожденци, Стълби пред 15 Блок, 6609 Кърджали","41.630476, 25.359286"
Кърждали,"кв. Възрожденци, бул. „Христо Ботев“, 6609","41.636722, 25.355539"
Копривщица,"606, 2077 Копривщица","42.636065, 24.360544"
Костенец,"Център, ул. Търговска 4-10, 2030 гр. Костенец","42.308700, 23.858515"
Костенец,"Център, ул. „Белмекен“, 2030 Костенец","42.307505, 23.857618"
Кнежа,"ул. „Толбухин“ 4, 5835 Център, Кнежа","43.494373, 24.079062"
Кнежа,"ул. Марин Боев 70, 5835 Център, Кнежа","43.497405, 24.080664"
Крумовград,"улица Димитър Благоев 1, 6900","41.474152, 25.652264"
Крумовград,"ул. „Христо Ботев“ 1, 6900 Крумовград","41.470428, 25.652394"
Кукорево/ Общ.Тунджа,"5304 10-12, 8673 Кукорево","42.447169, 26.533329"
